Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
12/19/2023 12:00:00 AM,A001602254,CARRERA 23 CALLE  21A   LA TIZA,LA TIZA,2,2,HERIDOS,0,0,CHOQUE
12/22/2023 12:00:00 AM,A001602255,CARRERA 23 N .9 -15    PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,1,0,MUERTOS,1,1,CHOQUE
12/18/2023 12:00:00 AM,A001602253,AVENIDA 23 N.27-06    DON BOSCO,DON BOSCO,3,2,HERIDOS,0,0,CHOQUE
12/22/2023 12:00:00 AM,A001602256,CARRERA 24 CALLE  45179 EVEREST,No registra,1,1,HERIDOS,0,0,ATROPELLO
12/25/2023 12:00:00 AM,A001602259,CALLE 13 CARRERA  20   COOPERATIVO,COOPERATIVO,2,1,HERIDOS,0,0,CHOQUE
12/24/2023 12:00:00 AM,A001602258,AVENIDA 23 CARRERA 27A  VIILA  CLAUDIA,No registra,1,1,HERIDOS,0,0,CHOQUE
12/24/2023 12:00:00 AM,A001602257,CARRERA 14 N. 9-103   LA UNION,LA UNION,1,1,HERIDOS,0,0,OTRO
12/30/2023 12:00:00 AM,A001602260,AVENIDA 23 N. 27B-30 SAIN THOMAS,No registra,2,1,HERIDOS,0,0,CHOQUE
12/30/2023 12:00:00 AM,A001602261,CALLE 18 CARRERA 18   MANCERA,MANCERA,2,3,HERIDOS,0,0,CHOQUE
44562,A001371865,CALLE 9 CARRERA  22   PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,0,DA�OS MATERIALES,0,0,CHOQUE
44593,A001371866,CARRERA 23 CALLE  17   COOPERATIVO,COOPERATIVO,2,2,HERIDOS,0,0,CHOQUE
44621,A001371867,KILOMETRO 1+700 MTS RURAL     LOMA DE TIGRE,No registra,2,1,HERIDOS,0,0,CHOQUE
44682,A001371868,AVENIDA 23 CARRERA  27   LOS OLIVOS,LOS OLIVOS,2,1,HERIDOS,0,0,CHOQUE
44743,A001371869,CARRERA 23 # 14 53   COOPERATIVO,COOPERATIVO,4,0,DA�OS MATERIALES,0,0,CHOQUE
01/16/2022 12:00:00 AM,A001371872,CARRERA 23 #14 27   SAN JOSÉ,SAN JOSÉ,2,0,DA�OS MATERIALES,0,0,CHOQUE
44835,A001371870,KILOMETRO 1+700 MTS     VÍA ACACÍAS-GUAMAL,VÍA ACACÍAS-GUAMAL,2,0,HERIDOS,0,0,CHOQUE
01/14/2022 12:00:00 AM,A001371871,CARRERA 49 CALLE 20   BRISAS DE LA COLINA,BRISAS DE LA COLINA,2,0,HERIDOS,0,0,CHOQUE
01/17/2022 12:00:00 AM,A001371873,KILOMETRO 15+9 MTS     VÍA ACACÍAS-DINAMARCA,VÍA ACACÍAS-DINAMARCA,2,0,DA�OS MATERIALES,0,0,CHOQUE
01/19/2022 12:00:00 AM,A001371874,CARRERA 14 CALLE 26   GUARATARA II,GUARATARA II,2,0,DA�OS MATERIALES,0,0,CHOQUE
01/27/2022 12:00:00 AM,A001371875,KILOMETRO 27+100 MTS     VÍA ACACÍAS-VILLAVICENCIO,VÍA ACACÍAS-VILLAVICENCIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
01/28/2022 12:00:00 AM,A001371877,CARRERA 31 CALLE 16C   BACHUE,BACHUE,2,0,DA�OS MATERIALES,0,0,CHOQUE
01/31/2022 12:00:00 AM,A001371878,CALLE 14 CARRERA  31   BACHUE,BACHUE,2,0,DA�OS MATERIALES,0,0,CHOQUE
