Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
44719,A001456819,CARRERA 19 CALLE 17   MANCERA,MANCERA,2,2,HERIDOS,0,0,CHOQUE
44841,A001456823,CALLE 14 CARRERA 32   BACHUE,BACHUE,2,1,HERIDOS,0,0,CHOQUE
44902,A001456824,DIAGONAL 15  26 - 46 PABLO VI,PABLO VI,1,1,HERIDOS,0,0,ATROPELLO
07/13/2022 12:00:00 AM,A001456826,CALLE 10 A  CARRERA 25 DORADO,DORADO,2,1,HERIDOS,0,0,CHOQUE
07/17/2022 12:00:00 AM,A001456829,AVENIDA 23   CALLE 14 SAN JOSÉ,SAN JOSÉ,2,0,DA�OS MATERIALES,0,0,CHOQUE
07/17/2022 12:00:00 AM,A001456830,KILOMETRO 9+200 VÍA CHICHIMENE,No registra,2,1,MUERTOS,1,1,CHOQUE
07/16/2022 12:00:00 AM,A001456828,KILOMETRO 26+200     PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,1,2,HERIDOS,0,0,CHOQUE
07/13/2022 12:00:00 AM,A001456825,CALLE 14 CALLE 16   CENTRO,CENTRO,2,1,HERIDOS,0,0,CHOQUE
07/16/2022 12:00:00 AM,A001456827,CARRERA 23  15 - 20 DORADO,DORADO,2,0,DA�OS MATERIALES,0,0,CHOQUE
07/25/2022 12:00:00 AM,A001456831,CARRERA 36  12A - 6 INDEPENDENCIA,INDEPENDENCIA,1,0,HERIDOS,0,0,ATROPELLO
07/31/2022 12:00:00 AM,A001456833,CALLE 13 CARRERA 16   CENTRO,CENTRO,2,1,HERIDOS,0,0,CHOQUE
07/30/2022 12:00:00 AM,A001456832,CARRERA 17 CALLE 14   CENTRO,CENTRO,2,2,HERIDOS,0,0,CHOQUE
44872,C001479150,KILOMETRO 46+600  GRANADA - VILLAVICENCIO  EL CENTRO,No registra,2,0,DA�OS MATERIALES,0,0,CHOQUE
07/22/2022 12:00:00 AM,C001479154,KILOMETRO 46+500 BOMBA SEUZ GRANADA - VILLAVICENCIO,No registra,2,1,DA�OS MATERIALES,0,0,CHOQUE
44903,A001456834,CARRERA 18#16-10   -  SANTA ISABEL,SANTA ISABEL,2,1,HERIDOS,0,0,CHOQUE
08/13/2022 12:00:00 AM,A001456835,CARRERA 23#5A-05   -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,1,HERIDOS,0,0,CHOQUE
44903,A001456836,CARRERA 23#14-76   -  DORADO,DORADO,2,1,HERIDOS,0,0,CHOQUE
08/13/2022 12:00:00 AM,A001456838,KILOMETRO 18+700 MTS VIA A DINAMARCA  VEREDA /CAÑO HONDO   MONTELIBANO,No registra,1,1,HERIDOS,0,0,CHOQUE
08/21/2022 12:00:00 AM,A001456337,CARRERA 23 CALLE  19 -  MANCERA,MANCERA,2,2,HERIDOS,0,0,CHOQUE
08/23/2022 12:00:00 AM,A001456839,CARRERA 14 # 16 12  LAS VEGAS,LAS VEGAS,2,3,HERIDOS,0,0,CHOQUE
08/27/2022 12:00:00 AM,A001456840,CALLE 11 CARRERA  31A 15  LAS ACACIAS,LAS ACACIAS,1,0,MUERTOS,1,1,CHOQUE
44903,C-001479165,KILOMETRO 48+400 MTS   -  VÍA GRANADA-VILLAVICENCIO EL CENTRO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
44690,A001456841,CARRERA 29 DIAGONAL 15 -  VILLA DEL LLANO,VILLA DEL LLANO,2,1,HERIDOS,0,0,CHOQUE
44782,A001456842,CALLE 15 CARRERA  15 -  CENTRO,CENTRO,2,2,HERIDOS,0,0,CHOQUE
44904,A001456845,KILOMETRO 2+200 MTS   - VAQUEROS -CHICHIMENE,No registra,2,2,HERIDOS,0,0,CHOQUE
44874,A001456843,CALLE 11 CARRERA  26 -  DORADO,DORADO,2,2,HERIDOS,0,0,CHOQUE
44904,A001456844,DIAGONAL 15 # 29 43  VILLA LUCIA,VILLA LUCIA,2,1,HERIDOS,0,0,CHOQUE
09/14/2022 12:00:00 AM,A001456846,DIAGONAL 15 CARRERA  21 -  COOPERATIVO,COOPERATIVO,2,2,HERIDOS,0,0,CHOQUE
09/14/2022 12:00:00 AM,A001456847,KILOMETRO 52 GRAN/VILLAVICENCIO  -  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
09/19/2022 12:00:00 AM,A001456848,CALLE 10A CARRERA  26 -  LAS ACACIAS,LAS ACACIAS,2,1,HERIDOS,0,0,CHOQUE
09/22/2022 12:00:00 AM,A001456849,CARRERA 23 # 25 39  VILLA LUCIA,VILLA LUCIA,2,2,HERIDOS,0,0,CHOQUE
09/25/2022 12:00:00 AM,A001456850,DIAGONAL 5 VIA LLANO MAR  -  LLANO MAR,LLANO MAR,1,1,HERIDOS,0,0,CHOQUE
06/13/2022 12:00:00 AM,C-001479189,KILOMETRO 47+610 MTS INTER VEREDA EL CENTRO    VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,MUERTOS,1,1,CHOQUE
09/15/2022 12:00:00 AM,C-001479191,KILOMETRO 56+720 MTS    -  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,1,2,HERIDOS,0,0,ATROPELLO
44571,A001456851,CALLE 18 FRENTE ALA VILLA OLIMPICA  -,No registra,2,2,HERIDOS,0,0,CHOQUE
44661,A001456853,CALLE 18 # 20 46  MANCERA,MANCERA,2,1,HERIDOS,0,0,CHOQUE
44630,A001456852,CALLE 18 CARRERA 7-52 -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,1,1,HERIDOS,0,0,ATROPELLO
10/16/2022 12:00:00 AM,A001456857,CARRERA 14 CALLE 17 -  SAN CRISTOBAL,SAN CRISTOBAL,1,2,MUERTOS,1,1,ATROPELLO
44905,A001456354,CALLE 12 CARRERA  38 INDEPEN II ETAPA  INDEPENDENCIA,INDEPENDENCIA,2,1,HERIDOS,0,0,CHOQUE
10/16/2022 12:00:00 AM,A001456856,CARRERA 31 CALLE  16C -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,2,HERIDOS,0,0,CHOQUE
10/14/2022 12:00:00 AM,A001456855,CALLE 12 CARRERA 25 -  DORADO,DORADO,2,2,HERIDOS,0,0,CHOQUE
10/19/2022 12:00:00 AM,A001456858,CARRERA 41 AVENIDA 23 PLAZA CENTENARIA  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,1,1,MUERTOS,1,1,OTRO
10/21/2022 12:00:00 AM,A001456859,CALLE 15 CARRERA  15-48 -  CENTRO,CENTRO,2,1,HERIDOS,0,0,CHOQUE
10/25/2022 12:00:00 AM,A001456860,AVENIDA 23 CALLE 29B -  ASOCIACIÓN DE AMIGOS,ASOCIACIÓN DE AMIGOS,2,1,HERIDOS,0,0,CHOQUE
10/27/2022 12:00:00 AM,A001456861,CARRERA  19 CALLE 18 FRENTE ALA VILLA OLIMPICA,SIN INFORMACIÓN DEL BARRIO,1,1,HERIDOS,0,0,ATROPELLO
44814,C-001479207,KILOMETRO 44+500 MTS   -  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,0,CHOQUE
44814,C- 001479206,KILOMETRO 44+350 MTS   OROTOY  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
10/16/2022 12:00:00 AM,C - 001482371,KILOMETRO 47+400 MTS   VEREDA CENTRO  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,0,CHOQUE
44753,A001456863,CALLE 11 # 33-12  -  SAMAN,SAMAN,2,2,MUERTOS,1,1,CHOQUE
44572,A001456862,KILOMETRO 1+500 MTS   ACACIAS CHICHIMENE   ESMERALDA,No registra,1,3,HERIDOS,0,0,CHOQUE
44784,A001456864,CALLE 14 CARRERA 12 -  JUAN MELLAO,JUAN MELLAO,2,2,HERIDOS,0,0,CHOQUE
44815,A001456865,CALLE 13 CARRERA  27 -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,2,HERIDOS,0,0,CHOQUE
11/15/2022 12:00:00 AM,A001456866,CARRERA 22 CALLE  18 -  MANCERA,MANCERA,2,1,HERIDOS,0,0,CHOQUE
11/17/2022 12:00:00 AM,A001456867,CARRERA 36 CALLE  11 -  INDEPENDENCIA,INDEPENDENCIA,2,1,HERIDOS,0,0,CHOQUE
11/19/2022 12:00:00 AM,A001456868,AVENIDA 23 # 21B-30B -  GUARATARA II,GUARATARA II,2,1,HERIDOS,0,0,CHOQUE
11/19/2022 12:00:00 AM,A001456869,CARRERA 31 CALLES 16C 16D  BACHUE,BACHUE,1,1,HERIDOS,0,0,ATROPELLO
11/23/2022 12:00:00 AM,A001456871,CALLE 16 CARRERA  29 B/BOSQUE  EL BOSQUE,EL BOSQUE,2,1,HERIDOS,0,0,CHOQUE
11/22/2022 12:00:00 AM,A001456870,CARRERA 39 CALLE 11 -  INDEPENDENCIA,INDEPENDENCIA,2,1,HERIDOS,0,0,CHOQUE
11/24/2022 12:00:00 AM,A001456872,CALLE 14 # 25 - 44  -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,2,HERIDOS,0,0,CHOQUE
11/26/2022 12:00:00 AM,A001456873,CALLE 18 CARRERA 48 -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,1,HERIDOS,0,0,CHOQUE
11/26/2022 12:00:00 AM,A001456874,DIAGONAL 15 # 30-15 VILLA DEL SOL,No registra,2,2,HERIDOS,0,0,CHOQUE
11/30/2022 12:00:00 AM,A001456875,CARRERA 18 # 13-85 -  CENTRO,CENTRO,1,1,HERIDOS,0,0,ATROPELLO
11/25/2022 12:00:00 AM,C-001482395,KILOMETRO 45+000 MTS   -  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
44604,A001456876,CARRERA 31 CALLE  16F -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,1,HERIDOS,0,0,CHOQUE
44693,A001456877,AVENIDA 23 CALLE  18 -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,1,2,HERIDOS,0,0,ATROPELLO
44846,A001456878,CALLE 18 CRA 19 -  MANCERA,MANCERA,2,1,HERIDOS,0,0,CHOQUE
44877,A001456879,CALLE 11 CARRERA  35A -  INDEPENDENCIA,INDEPENDENCIA,2,2,HERIDOS,0,0,CHOQUE
12/18/2022 12:00:00 AM,A001456881,CALLE 14 CARRERA  23 -  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,1,HERIDOS,0,0,CHOQUE
12/17/2022 12:00:00 AM,A001456880,CALLE 18 CARRERA  14 -  SAN CRISTOBAL,SAN CRISTOBAL,2,1,HERIDOS,0,0,CHOQUE
12/29/2022 12:00:00 AM,A001456883,CALLE 11 CARRERA  24 -  DORADO,DORADO,2,1,HERIDOS,0,0,CHOQUE
12/28/2022 12:00:00 AM,A001456882,CARRERA 31 N  14-110 VILLA DEL SOL,No registra,1,1,HERIDOS,0,0,CHOQUE
12/27/2022 12:00:00 AM,C-001482414,KILOMETRO 46+650 MTS   -  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
